Key,german
reqASShotguns30,Schrotflinten Stufe 30
reqASShotguns45,Schrotflinten Stufe 45
reqASShotguns60,Schrotflinten Stufe 60
reqASShotguns75,Schrotflinten Stufe 75
reqPlayerLevel1,Keine Anforderungen
reqPlayerLevel5,Spieler Stufe 5
reqPlayerLevel10,Spieler Stufe 10
reqPlayerLevel15,Spieler Stufe 15
reqPlayerLevel20,Spieler Stufe 20
reqPlayerLevel25,Spieler Stufe 25
reqPlayerLevel30,Spieler Stufe 30
reqPlayerLevel35,Spieler Stufe 35
reqPlayerLevel40,Spieler Stufe 40
reqPlayerLevel45,Spieler Stufe 45
reqPlayerLevel50,Spieler Stufe 50
reqPlayerLevel55,Spieler Stufe 55
reqPlayerLevel60,Spieler Stufe 60
reqPlayerLevel65,Spieler Stufe 65
reqPlayerLevel70,Spieler Stufe 70
reqPlayerLevel75,Spieler Stufe 75
reqPlayerLevel80,Spieler Stufe 80
reqPlayerLevel85,Spieler Stufe 85
reqPlayerLevel90,Spieler Stufe 90
reqPlayerLevel95,Spieler Stufe 95
reqPlayerLevel100,Spieler Stufe 100
reqPlayerLevel110,Spieler Stufe 110
reqPlayerLevel120,Spieler Stufe 120
reqPlayerLevel125,Spieler Stufe 125
reqPlayerLevel130,Spieler Stufe 130
reqPlayerLevel140,Spieler Stufe 140
reqPlayerLevel150,Spieler Stufe 150
reqPlayerLevel160,Spieler Stufe 160
reqPlayerLevel170,Spieler Stufe 170
reqPlayerLevel175,Spieler Stufe 175
reqPlayerLevel180,Spieler Level 180
reqPlayerLevel190,Spieler Level 190
reqPlayerLevel200,Spieler Stufe 200
reqPlayerLevel1Perk,Keine Anforderungen
reqPlayerLevel5Perk,Spieler Stufe 5
reqPlayerLevel15Perk,Spieler Stufe 15
reqPlayerLevel25Perk,Spieler Stufe 25
reqPlayerLevel30Perk,Spieler Stufe 30
reqPlayerLevel45Perk,Spieler Stufe 45
reqPlayerLevel50Perk,Spieler Stufe 50
reqPlayerLevel60Perk,Spieler Stufe 60
reqPlayerLevel90Perk,Spieler Stufe 90
reqPlayerLevel100Perk,Spieler Stufe 100
reqPlayerLevel120Perk,Spieler Stufe 120
reqPlayerLevel150Perk,Spieler Stufe 150
reqPlayerLevel180Perk,Spieler Level 180
regCivilianQuest,"Schließe die Questkette der Scavenger-Klasse ab"
reqClassQuest1,"Schließe die Quest der ersten Klasse ab"
reqClassQuest2,"Schließe die Klassenquestkette ab. Spieler Stufe 15"
reqClassQuest3,"Schließe die Klassenquestkette ab. Spieler Stufe 30"
reqClassQuest4,"Schließe die Klassenquestkette ab. Spieler Stufe 45"
reqClassQuestComplete,"Schließe die Klassenquestkette ab."
attskillsandatt,Attribute und Fertigkeiten
attSkillsandAttName,Attribute und Fertigkeiten
attSkillsandAttDesc,"Kategorie für Attribute und ihre Fertigkeiten"
attactionskills,Handlungskompetenzen
attActionSkillsName,Handlungskompetenzen
attActionSkillsDesc,Lernen durch Handeln!
skillAttributesName,Charakter-Attribute
skillAttributesDesc,"Hier finden Sie Kraft, Intellekt usw."
skillCivilianBasicName,Scavenger-Klasse
skillCivilianDesc,"Vergünstigungen für die Scavenger-Klasse."
skillCivilianMasterName,Aasfresser-Meisterschaft
skillCivilianMasterDesc,"Perks für die Beherrschung von Scavenger"
skillFarmerBasicName,Landwirt Klasse
skillFarmerBasicDesc,"Vergünstigungen für die Landwirtsklasse."
skillFarmerMasterName,Meisterhaftigkeit der Landwirte
skillFarmerMasterDesc,"Vergünstigungen für die Landwirte-Meisterschaft."
skillHunterBasicName,"Jägerklasse"
skillHunterBasicDesc,"Vergünstigungen für die Jägerklasse."
skillHunterMasterName,"Jäger-Meisterschaft"
skillHunterMasterDesc,"Perks für die Jägerbeherrschung."
skillLaborerBasicName,Arbeiter-Klasse
skillLaborerBasicDesc,"Vergünstigungen für die Arbeiterklasse."
skillLaborerMasterName,Laborer Mastery
skillLaborerMasterDesc,"Vergünstigungen für die Meisterung von Arbeitern."
skillMechanicBasicName,Mechaniker-Klasse
skillMechanicBasicDesc,"Perks für die Mechaniker-Klasse."
skillMechanicMasterName,Mechaniker-Meisterschaft
skillMechanicMasterDesc,"Perks für die Beherrschung der Mechanik."
skillScientistBasicName,Wissenschaftler-Klasse
skillScientistBasicDesc,"Vergünstigungen für die Klasse der Wissenschaftler."
skillScientistMasterName,Wissenschaftliche Meisterschaft
skillScientistMasterDesc,"Vergünstigungen für die Beherrschung der Wissenschaft."
skillSecurityBasicName,Sicherheitsklasse
skillSecurityBasicDesc,"Vergünstigungen für die Sicherheitsklasse."
skillSecurityMasterName,Beherrschung der Sicherheit
skillSecurityMasterDesc,"Vergünstigungen für die Beherrschung der Sicherheit."
skillSurvivalistBasicName,Survivalisten-Klasse
skillSurvivalistBasicDesc,"Vergünstigungen für die Überlebenskünstler-Klasse."
skillSurvivalistMasterName,"Meisterhaftes Überleben"
skillSurvivalistMasterDesc,"Perks für die Überlebenskünstler-Meisterschaft."
skillASToolsName,Werkzeuge.
skillASToolsDesc,"Handlungskompetenzen für Werkzeuge."
skillASWeaponsName,Waffen.
skillASWeaponsDesc,"Action Skills für Waffen."
skillsCraftingToolsName,Handwerkszeug-Rezepte.
skillsCraftingToolsDesc,Perks zum Erlernen neuer Tool- und Workstation-Rezepte.
skillsItemRecipesName,Artikel-Rezepte.
skillsItemRecipesDesc,Vorteile beim Erlernen neuer Item-Rezepte.
skillFutureTechName,Technologie der Zukunft.
skillFutureTechDesc,"Erhalten Sie Zugang zu technologischen Fortschritten, von denen die meisten Menschen nur träumen können."
skillBioBoostsName,Biologische Boosts.
skillBioBoostsDesc,"Sich mit dämonischer Essenz anstecken, um zusätzliche Vorteile zu erhalten. Wahrscheinlich keine kluge Idee..."
skillTechBoostsName,Technologische Neuerungen.
skillTechBoostsDesc,"Nutzen Sie die Kraft winziger Maschinen, Naniten genannt, um sich zusätzliche Vorteile zu verschaffen."
attperks,"Vergünstigungen"
attPerksName,"Vergünstigungen"
attPerksDesc,Perks Kategorie
atttechnology,Technologie
attTechnologyName,Technologische Verbesserungen
attTechnologyDesc,"High-End-Technologie für die breite Masse."
skillArchery,"Bogenschießen Action Skill"
skillArcheryName,"Bogenschießen Action Skill"
skillArcheryDesc,"Erhöhe deine Bogenschießfertigkeit für Boni mit Bogenwaffen."
skillAthletics,Athletik Action Skill
skillAthleticsName,Athletik Action Skill
skillAthleticsDesc,"Erhöhe deine Athletik-Fähigkeit, um deine Ausdauer besser zu nutzen."
skillAutomatics,Automatik Action Skill
skillAutomaticsName,Automatik Action Skill
skillAutomaticsDesc,"Erhöhen Sie Ihre Automatik-Fertigkeit für Boni mit automatischen Waffen."
skillBlunt,Aktionsfertigkeit Stumpfe Waffen
skillBluntName,Aktionsfertigkeit Stumpfe Waffen
skillBluntDesc,"Erhöhe deine Fertigkeit ""Stumpfe Waffen"" für Boni mit stumpfen Waffen."
skillBlades,Klingen Aktion Geschicklichkeit
skillBladesName,Klingen Aktion Geschicklichkeit
skillBladesDesc,"Erhöhe deine Klingenfertigkeit für Boni mit Klingenwaffen."
skillConstruction,Bauwerkzeuge Action Skill
skillConstructionName,Bauwerkzeuge Action Skill
skillConstructionDesc,"Erhöhen Sie Ihre Konstruktionsfertigkeit für Boni mit Bauwerkzeugen."
skillMiningTools,Bergbauwerkzeuge Action Skill
skillMiningToolsName,Bergbauwerkzeuge Action Skill
skillMiningToolsDesc,"Steigern Sie Ihre Bergbaufähigkeit, um Boni mit Bergbauwerkzeugen zu erhalten."
skillPistols,Pistolen Aktion Geschicklichkeit
skillPistolsName,Pistolen Aktion Geschicklichkeit
skillPistolsDesc,"Erhöhe deine Pistolenfertigkeit für Boni mit Pistolenwaffen."
skillRifles,Gewehre Action Skill
skillRiflesName,Gewehre Action Skill
skillRiflesDesc,"Erhöhen Sie Ihre Gewehrfertigkeit für Boni mit Gewehrwaffen."
skillScavenging,"Aktionsfertigkeit Plündern"
skillScavengingName,"Aktionsfertigkeit Plündern"
skillScavengingDesc,"Erhöhen Sie Ihre Fähigkeit ""Plündern"" für Boni beim Plündern."
skillShotguns,Schrotflinten Action Skill
skillShotgunsName,Schrotflinten Action Skill
skillShotgunsDesc,"Erhöhe deine Schrotflinten-Fähigkeit für Boni mit Schrotflintenwaffen."
skillCrafting,"Перки крафта"
skillCraftingName,"Perks für das Handwerk"
skillCraftingDesc,"Perks, die die Qualität des Handwerks erhöhen, finden Sie hier."
skillPerks,"Fähigkeitsbezogene Vergünstigungen"
skillPerksName,"Fähigkeitsbezogene Vergünstigungen"
skillPerksDesc,"Perks zum Freischalten von Rezepten, die mit Fertigkeiten zusammenhängen, finden Sie hier."
skillBooks,"Über Bücher freigeschaltete Perks"
skillBooksName,"Über Bücher freigeschaltete Perks"
skillBooksDesc,"Hier befinden sich Perks, die durch die in der Welt gefundenen Bücher freigeschaltet werden."
perkASConstructionDesc,+1% Blockschaden mit Bauwerkzeugen. Beendet bei +100% auf Stufe 100.
perkASMiningDesc,+1% Blockschaden mit Bergbauwerkzeugen. +1% Erntemenge mit Bergbauwerkzeugen. Caps bei +100% auf Stufe 100.
perkASMiningDesc2,"+1% Blockschaden mit Bergbauwerkzeugen. +1% Erntemenge mit Bergbauwerkzeugen. Beendet bei +100% auf Stufe 100. Erleidet 50% weniger Schaden durch herabfallende Blöcke."
perkASMiningDesc3,"+1% Blockschaden mit Bergbauwerkzeugen. +1% Erntemenge mit Bergbauwerkzeugen. Beendet bei +100% auf Stufe 100. Erleidet 50% weniger Schaden durch herabfallende Blöcke. Kleine Chance, beim Abbau seltene Erze zu finden. 20% Chance, einen Erzblock mit 1 Treffer abzubauen."
perkASArchery1Desc,"+0,75% Feuergeschwindigkeit für Bogenwaffen. Beendet bei +75% auf Stufe 100. +5% Schaden für diese Waffenklasse. Erhöht sich mit Fertigkeitsstufe 21. Pfeile ignorieren 10% der Rüstung des Ziels."
perkASArchery2Desc,"+0,75% Feuergeschwindigkeit für Bogenwaffen. Beendet bei +75% auf Stufe 100. +10% Schaden für diese Waffenklasse. Erhöht sich mit Fertigkeitsstufe 41. Pfeile ignorieren 20% der Rüstung des Ziels. Beinschüsse verlangsamen die Gegner."
perkASArchery3Desc,"+0,75% Feuergeschwindigkeit für Bogenwaffen. Beendet bei +75% auf Stufe 100. +15% Schaden für diese Waffenklasse. Erhöht sich mit Fertigkeitsstufe 61. Pfeile ignorieren 30% der Rüstung des Ziels. Beinschüsse verlangsamen den Gegner. Schleichangriffsschüsse haben eine Chance von 20%, den Gegner niederzuschlagen."
perkASArchery4Desc,"+0,75% Feuergeschwindigkeit für Bogenwaffen. Beendet bei +75% auf Stufe 100. +20% Schaden für diese Waffenklasse. Erhöht sich mit Fertigkeitsstufe 81. Pfeile ignorieren 40% der Rüstung des Ziels. Beinschüsse verlangsamen den Gegner. Schleichangriffsschüsse haben eine 20%ige Chance, einen Knockdown zu verursachen."
perkASArchery5Desc,"+0,75% Feuergeschwindigkeit für Bogenwaffen. Beendet bei +75% auf Stufe 100. +25% Schaden für diese Waffenklasse. Pfeile ignorieren 40% der Rüstung des Ziels. Beinschüsse verlangsamen den Gegner. Schleichangriffsschüsse haben eine Chance von 20%, das Ziel niederzuschlagen."
perkASWeapons1Desc,"Erhöht den Schaden für diese Waffenklasse um 5%. Erhöht die Nachladegeschwindigkeit um 5%. Erhöht sich auf Fertigkeitsstufe 21."
perkASWeapons2Desc,"Erhöht den Schaden für diese Waffenklasse um 10%. Erhöht die Nachladegeschwindigkeit um 10%. Erhöht sich auf Fertigkeitsstufe 41. Erhöht die Laufgeschwindigkeit um 20%, wenn du eine automatische Waffe hältst."
perkASWeapons3Desc,"Erhöht den Schaden für diese Waffenklasse um 15%. Erhöht die Nachladegeschwindigkeit um 15%. Erhöht sich auf Fertigkeitsstufe 61. Erhöht die Laufgeschwindigkeit um 20%, wenn du eine automatische Waffe hältst."
perkASWeapons4Desc,"Erhöht den Schaden für diese Waffenklasse um 20%. Erhöht die Nachladegeschwindigkeit um 20%. Erhöht sich auf Fertigkeitsstufe 81. Erhöht die Laufgeschwindigkeit um 20%, wenn du eine automatische Waffe hältst. 4% Chance pro Schuss, einen Feind in eine Stoffpuppe zu verwandeln. +1% Schaden pro erfolgreichem Treffer, bis du verfehlst."
perkASWeapons5Desc,"Erhöht den Schaden für diese Waffenklasse um 25%. Erhöht die Nachladegeschwindigkeit um 25%. Erhöht die Laufgeschwindigkeit um 20%, wenn du eine automatische Waffe hältst. 4% Chance pro Schuss, einen Feind in eine Stoffpuppe zu verwandeln. +1% Schaden pro erfolgreichem Treffer, bis du verfehlst."
perkASAthletics1Desc,"+5% Ausdauerwiederherstellung beim Laufen. Erhöht sich mit Fertigkeitsstufe 21. Beendet bei +25% auf Stufe 100. Verringert den Ausdauerverbrauch beim Springen um 4% Erhöht sich auf Fertigkeitsstufe 21."
perkASAthletics2Desc,"+10% Ausdauerwiederherstellung beim Laufen. Erhöht sich mit Fertigkeitsstufe 41. Beendet bei +25% auf Stufe 100. Verringert den Ausdauerverbrauch beim Springen um 8% Erhöht sich auf Fertigkeitsstufe 41."
perkASAthletics3Desc,"+15% Ausdauerwiederherstellung beim Laufen. Erhöht sich mit Fertigkeitsstufe 61. Beendet bei +25% auf Stufe 100. Verringert den Ausdauerverbrauch beim Springen um 12% Erhöht sich auf Fertigkeitsstufe 61."
perkASAthletics4Desc,"+20% Ausdauerwiederherstellung beim Laufen. Erhöht sich mit Fertigkeitsstufe 81. Maximal +25% auf Stufe 100. Verringert den Ausdauerverbrauch beim Springen um 16% Erhöht sich auf Fertigkeitsstufe 81."
perkASAthletics5Desc,+25% Ausdauererholung beim Laufen. Verringert den Ausdauerverbrauch beim Springen um 20%.
perkASAthleticsName,Leichtathletik
perkASAthleticsDesc,"Bessere Ausdauerverwendung beim Springen und bessere Ausdauerregeneration beim Laufen.\n\nAktuelle XP/XP bis zum nächsten Level: {cvar($AS_Athletics_XP:0)}/{cvar($AS_Athletics_LvlNextTotal:0)}"
perkASConstructionToolsName,Bauwerkzeuge
perkASConstructionToolsDesc,"Erhöht durch den Einsatz von Bauwerkzeugen zur Reparatur und Aufwertung von Blöcken. Erhöht den Blockschaden beim Einsatz von Bauwerkzeugen."
perkASMiningToolsName,"Werkzeuge für den Bergbau"
perkASMiningToolsDesc,"Erhöht durch den Einsatz von Bergbauwerkzeugen zum Sammeln von Blöcken. Erhöht den Blockschaden und das Sammeln von Ressourcen beim Einsatz von Bergbauwerkzeugen.\n\nAktuelle XP/XP bis zum nächsten Level: {cvar($AS_MiningTools_XP:0)}/{cvar($AS_MiningTools_LvlNextTotal:0)}"
perkASScavengingName,"Spülung"
perkASScavengingDesc,"Erhöht sich durch das Plündern von Containern und das Zerreißen von Gegenständen. Erhöht die Beutestufe für bessere Beute und verringert die Plünderungszeit.\n\nAktuelle XP/XP bis zum nächsten Level: {cvar($AS_Scavenging_XP:0)}/{cvar($AS_Scavenging_LvlNextTotal:0)}"
perkASArcheryName,"Bogenschießen-Waffen"
perkASArcheryDesc,"Erhöht durch Verwendung von Bögen und Armbrüsten. Erhöht die Feuerrate und den Schaden für diese Waffen.\n\nAktuelle XP/XP bis zur nächsten Stufe: {cvar($AS_Archery_XP:0)}/{cvar($AS_Archery_LvlNextTotal:0)}"
perkASAutomaticsName,Automatische Gewehre
perkASAutomaticsDesc,"Erhöht durch die Verwendung automatischer Waffen. Erhöht den Schaden mit diesen Waffen.\n\nAktuelle XP/XP bis zur nächsten Stufe: {cvar($AS_Automatics_XP:0)}/{cvar($AS_Automatics_LvlNextTotal:0)}"
perkASBluntName,Stumpfe Waffen
perkASBluntDesc,"Erhöht durch Verwendung stumpfer Waffen. Erhöht den Schaden mit diesen Waffen.\n\nAktuelle XP/XP bis zur nächsten Stufe: {cvar($AS_Blunt_XP:0)}/{cvar($AS_Blunt_LvlNextTotal:0)}"
perkASBladedName,Klingenwaffen
perkASBladedDesc,"Erhöht durch den Einsatz von Klingenwaffen. Erhöht den Schaden mit diesen Waffen.\n\nAktuelle XP/XP bis zur nächsten Stufe: {cvar($AS_Bladed_XP:0)}/{cvar($AS_Bladed_LvlNextTotal:0)}"
"\n\n当前XP / XP到下一个级别： {cvar($AS_Bladed_XP:0)}/{cvar($AS_Bladed_LvlNextTotal:0)}",
perkASPistolsName,Pistolenwaffen
perkASPistolsDesc,"Erhöht durch die Verwendung von Pistolenwaffen. Erhöht den Schaden mit diesen Waffen.\n\nAktuelle XP/XP bis zum nächsten Level: {cvar($AS_Pistols_XP:0)}/{cvar($AS_Pistols_LvlNextTotal:0)}"
perkASShotgunsName,Schrotflinten-Waffen
perkASShotgunsDesc,"Erhöht durch die Verwendung von Schrotflintenwaffen. Erhöht den Schaden mit diesen Waffen.\n\nAktuelle XP/XP bis zum nächsten Level: {cvar($AS_Shotguns_XP:0)}/{cvar($AS_Shotguns_LvlNextTotal:0)}"
perkASRiflesName,Gewehr-Waffen
perkASRiflesDesc,"Erhöht durch die Verwendung von Gewehrwaffen. Erhöht den Schaden mit diesen Waffen.\n\nAktuelle XP/XP bis zum nächsten Level: {cvar($AS_Rifles_XP:0)}/{cvar($AS_Rifles_LvlNextTotal:0)}"
reqattTechnology,Technologie 1
reqNoBioBoost,Keine Bio Boost Perks
reqNoTechBoost,Keine Tech Boost Perks
reqAthletics1,Leichtathletik 1
reqAthletics10,Leichtathletik 10
reqAthletics20,Leichtathletik 20
reqAthletics40,Leichtathletik 40
reqAthletics60,Leichtathletik 60
reqScavenging1,"Spülung 1"
reqScavenging10,"Spülung 10"
reqScavenging20,"Spülung 20"
reqScavenging40,"Spülung 40"
reqScavenging60,"Spülung 60"
reqBluntWeapons1,Stumpfe Waffen 1
reqBluntWeapons10,Stumpfe Waffen 10
reqBluntWeapons20,Stumpfe Waffen 20
reqBluntWeapons40,Stumpfe Waffen 40
reqBluntWeapons60,Stumpfe Waffen 60
reqBladedWeapons1,Klingenwaffen 1
reqBladedWeapons10,Klingenwaffen 10
reqBladedWeapons20,Klingenwaffen 20
reqBladedWeapons40,Klingenwaffen 40
reqBladedWeapons60,Klingenwaffen 60
reqBladedWeapons80,Klingenwaffen 80
reqMiningTools1,Bergbauwerkzeuge 1
reqMiningTools10,"Werkzeuge für den Bergbau 10"
reqMiningTools20,Bergbauwerkzeuge 20
reqMiningTools40,Bergbauwerkzeuge 40
reqMiningTools60,Bergbauwerkzeuge 60
reqPistols1,Pistolen 1
reqPistols10,Pistolen 10
reqPistols20,Pistolen 20
reqPistols40,Pistolen 40
reqPistols60,Pistolen 60
reqPistols80,Pistolen 80
reqShotguns1,Schrotflinten 1
reqShotguns10,Schrotflinten 10
reqShotguns20,Schrotflinten 20
reqShotguns40,Schrotflinten 40
reqShotguns60,Schrotflinten 60
reqShotguns80,Schrotflinten 80
reqAutomatics1,Automatik 1
reqAutomatics10,Automatik 10
reqAutomatics20,Automatik 20
reqAutomatics40,Automatik 40
reqAutomatics60,Automatik 60
reqAutomatics80,Automatik 80
reqArchery1,"Bogenschießen 1"
reqArchery10,"Bogenschießen 10"
reqArchery20,"Bogenschießen 20"
reqArchery40,"Bogenschießen 40"
reqArchery60,"Bogenschießen 60"
reqArchery80,"Bogenschießen 80"
reqRifles1,Gewehre 1
reqRifles10,Gewehre 10
reqRifles20,Gewehre 20
reqRifles40,Gewehre 40
reqRifles60,Gewehre 60
reqRifles80,Gewehre 80
reqArmor1,"Rüstungsherstellung 1"
reqArmor2,"Rüstungsherstellung 2"
reqArmor3,"Rüstungsherstellung 3"
reqArmor4,"Rüstungsherstellung 4"
reqArmor5,"Rüstungsherstellung 5"
reqScience1,Wissenschaftliches Handwerk 1
reqScience2,Wissenschaftliches Handwerk 2
reqScience3,Wissenschaftliches Handwerk 3
reqScience4,Wissenschaftliches Handwerk 4
reqScience5,Wissenschaftliches Handwerk 5
reqTools1,Werkzeugbau 1
reqTools2,Werkzeugbau 2
reqTools3,Werkzeugbau 3
reqTools4,Werkzeugbau 4
reqTools5,Werkzeugbau 5
reqWeapons1,Waffenhandwerk 1
reqWeapons2,Waffenhandwerk 2
reqWeapons3,Waffenhandwerk 3
reqWeapons4,Waffenhandwerk 4
reqWeapons5,Waffenhandwerk 5
reqGuns1,Waffenhandwerk 1
reqGuns2,Waffenhandwerk 2
reqGuns3,Waffenhandwerk 3
reqGuns4,Waffenhandwerk 4
reqGuns5,Waffenhandwerk 5
reqCTools10,Bauwerkzeuge 10
reqCTools15,Bauwerkzeuge 15
reqSteelCrafting,Stahlhandwerk
reqForgeAhead,"Vorwärts drängen 1"
reqComplete,"Schließe alle Klassen, alle ihre Meisterschaften und den Vorteil ""Technologiehandwerk"" ab."
perkHealthNutName,Gesundheitsnuss
perkHealthNutDesc,"Steigern Sie Ihr Wohlbefinden mit dieser Vergünstigung."
perkHealthNutRank1Desc,Gelegenheitswanderer
perkHealthNutRank2Desc,Power Walker
perkHealthNutRank3Desc,Joggendes Arschloch
perkHealthNutRank4Desc,"Langläuferin"
perkHealthNutRank5Desc,"Marathonläuferin"
perkHealthNutRank1LongDesc,"Wellness um 10 erhöhen. Erhöht das minimale Wohlbefinden auf 60 Erhöht das maximale Wohlbefinden um 20"
perkHealthNutRank2LongDesc,"Wellness um 10 erhöhen. Erhöht das minimale Wohlbefinden auf 70 Erhöht das maximale Wohlbefinden um 40"
perkHealthNutRank3LongDesc,"Wellness um 10 erhöhen. Erhöht das minimale Wohlbefinden auf 80 Erhöht das maximale Wohlbefinden um 60"
perkHealthNutRank4LongDesc,"Wellness um 10 erhöhen. Erhöht das minimale Wohlbefinden auf 90 Erhöht das maximale Wohlbefinden um 80"
perkHealthNutRank5LongDesc,"Wellness um 10 erhöhen. Erhöht das minimale Wohlbefinden auf 100 Erhöht das maximale Wohlbefinden um 100"
perkSexualTrexDesc,"Du hast die Ausdauer dieser alten Bestie! Gewinne mit jedem Rang schneller Ausdauer zurück."
perkSexualTrexName,Sexueller Tyrannosaurus
perkSexualTrexRank1Desc,Couch-Kartoffel
perkSexualTrexRank2Desc,"Bankwärmer"
perkSexualTrexRank3Desc,Athleten
perkSexualTrexRank1LongDesc,"Regeneration der Ausdauer um 10% erhöhen"
perkSexualTrexRank2LongDesc,"Erhöhung der Ausdauerregeneration um 20%"
perkSexualTrexRank3LongDesc,"Erhöhung der Ausdauerregeneration um 30%"
perkParkourName,Parkour
perkParkourRank1Desc,Becher
perkParkourRank2Desc,Stuntman
perkParkourRank3Desc,Nervenkitzel-Suchende
perkParkourRank4Desc,Adrenalin-Junkie
perkParkourRank5Desc,Parkour-Meister
perkParkourDesc,"Spezialisieren Sie sich darauf, akrobatisch dorthin zu gelangen, wo Sie hinwollen, ganz gleich, wie weit oben oder unten das sein mag."
perkParkourRank1LongDesc,"Erhöhung der sicheren Falldistanz um 1 Meter. Verringert die Ausdauerkosten beim Springen um 10%. Kann 1 Block aus der Hocke springen."
perkParkourRank2LongDesc,"Erhöhung der sicheren Falldistanz um 2 Meter. Verringere die Ausdauerkosten beim Springen um 20%."
perkParkourRank3LongDesc,"Erhöhe die sichere Falldistanz um 3 Meter. 1 Meter höher springen."
perkParkourRank4LongDesc,"Erhöhen Sie die sichere Falldistanz um 4 Meter. Niemals ein verstauchtes Bein bekommen."
perkParkourRank5LongDesc,"Erhöhe die sichere Fallstrecke um 5 Meter. Springe 2 Meter höher und erleide nie einen Beinbruch. Immunität gegen Landminen."
perkPackMuleDesc,"Du bist ein Packesel und kannst mehr Gegenstände in deinem Inventar tragen, ohne Bewegungseinbußen hinnehmen zu müssen."
perkPackMuleName,Packesel
perkPackMuleRank1Desc,Unorganisiert
perkPackMuleRank2Desc,Tasche Dame
perkPackMuleRank3Desc,"Ordentlich und aufgeräumt"
perkPackMuleRank1LongDesc,"Wer hat schon Zeit, seine Sachen perfekt zu organisieren? Tragen Sie 7 Gegenstände mehr bei sich, ohne sich zu belasten."
perkPackMuleRank2LongDesc,"Sie wissen, dass es irgendwo da drin ist. Tragen Sie 14 weitere Gegenstände mit sich, ohne sie zu belasten."
perkPackMuleRank3LongDesc,"Sie wissen genau, wo alles ist. Tragen Sie 21 Gegenstände mehr, ohne sich zu belasten."
perkFastEddieName,Schneller Eddie
perkFastEddieDesc,Beute wird mit jedem Rang dieses Vorteils 10% schneller!
perkFastEddieRank1Desc,"Plünderungsgeschwindigkeit um 10% erhöhen"
perkFastEddieRank2Desc,"Plünderungsgeschwindigkeit um 20% erhöhen"
perkFastEddieRank3Desc,"Plünderungsgeschwindigkeit um 30% erhöhen"
perkFastEddieRank4Desc,"Erhöhung der Plünderungsgeschwindigkeit um 40%"
perkFastEddieRank5Desc,"Plünderungsgeschwindigkeit um 50% erhöhen"
perkQualityJoeName,"Qualität Joe"
perkQualityJoeDesc,"Erhöht die Chance, beim Plündern qualitativ bessere Gegenstände zu finden."
perkQualityJoeRank1Desc,"Erhöht die Beutestufe je nach Spielerlevel.\nLevel 1-25: Erhöht die Beutestufe um 5.\nLevel 26-50: Erhöht die Beutestufe um 10.\nLevel 51-100: Erhöht Beutestufe um 20.\nLevel 101-150: Erhöht Beutestufe um 30.\nLevel 151-200: Erhöht Beutestufe um 40.\nLevel 201+: Erhöht Beutestufe um 50."
perkQualityJoeRank2Desc,"Erhöht die Beutestufe je nach Spielerlevel.\nLevel 1-25: Erhöht die Beutestufe um 10.\nLevel 26-50: Erhöht die Beutestufe um 20.\nLevel 51-100: Erhöht die Beutestufe um 40.\nLevel 101-150: Erhöht die Beutestufe um 60.\nLevel 151-200: Erhöht die Beutestufe um 80. \nLevel 201+: Erhöht die Beutestufe um 100."
