Key,german
vehicleWillyJeepToplessGreenplaceableDesc,Jetzt mit noch mehr Wind-in-Haaren-Action!
vehicleWillyJeepOrange,Willy Jeep
vehicleWillyJeepOrangeplaceable,Willy Jeep
vehicleWillyJeepOrangeplaceableDesc,"Wenn es den Zweiten Weltkrieg überlebt hat, kann es auch das hier schaffen!"
vehicleWillyJeepToplessOrange,Willy Jeep (oben ohne)
vehicleWillyJeepToplessOrangeplaceable,Willy Jeep (oben ohne)
vehicleWillyJeepToplessOrangeplaceableDesc,Jetzt mit noch mehr Wind-in-Haaren-Action!
vehicleWillyJeepPurple,Willy Jeep
vehicleWillyJeepPurpleplaceable,Willy Jeep
vehicleWillyJeepPurpleplaceableDesc,"Wenn es den Zweiten Weltkrieg überlebt hat, kann es auch das hier schaffen!"
vehicleWillyJeepToplessPurple,Willy Jeep (oben ohne)
vehicleWillyJeepToplessPurpleplaceable,Willy Jeep (oben ohne)
vehicleWillyJeepToplessPurpleplaceableDesc,Jetzt mit noch mehr Wind-in-Haaren-Action!
vehicleWillyJeepRed,Willy Jeep
vehicleWillyJeepRedplaceable,Willy Jeep
vehicleWillyJeepRedplaceableDesc,"Wenn es den Zweiten Weltkrieg überlebt hat, kann es auch das hier schaffen!"
vehicleWillyJeepToplessRed,Willy Jeep (oben ohne)
vehicleWillyJeepToplessRedplaceable,Willy Jeep (oben ohne)
vehicleWillyJeepToplessRedplaceableDesc,Jetzt mit noch mehr Wind-in-Haaren-Action!
vehicleMRAP,MRAP
vehicleMRAP2,MRAP
vehicleMRAPplaceable,MRAP
vehicleMRAP2placeableDesc,"Ein MRAP-Militärfahrzeug. Was könnte man sich sonst noch wünschen?"
vehicleMRAP2placeable,MRAP
vehicleMRAPplaceableDesc,"Ein MRAP-Militärfahrzeug. Was könnte man sich sonst noch wünschen?"
vehicleMRAPaccessories,"MRAP-Zubehör"
vehicleMRAPaccessoriesDesc,"Für die Herstellung des MRAP benötigtes Zubehör."
vehicleMRAPparts,MRAP Teile
vehicleMRAPpartsDesc,"Für die Herstellung des MRAP benötigte Teile."
vehicleMarauder,Marodeur
vehicleMarauderplaceable,Marodeur
vehicleMarauderplaceableDesc,Die Zombies werden auf diese Fahrt neidisch sein!
vehicleMarauderblack,Marodeur
vehicleMarauderblackplaceable,Marodeur
vehicleMarauderblackplaceableDesc,Die Zombies werden auf diese Fahrt neidisch sein!
vehicleMarauderchassis,Marauder-Fahrgestell
vehicleMarauderchassisDesc,"Für die Herstellung des Marauder benötigte Teile. Fettnäpfchen Stufe 5 erforderlich."
vehicleMarauderaccessories,"Marauder-Zubehör"
vehicleMarauderaccessoriesDesc,"Für die Herstellung des Marauder benötigte Teile."
vehicleUAZ452chassis,UAZ 452 Fahrgestell
vehicleUAZ452chassisDesc,"Für die Herstellung des UAZ 452 benötigte Teile. Grease Monkey Stufe 4 erforderlich."
vehicleUAZ452,UAZ 452
vehicleUAZ452placeable,UAZ 452
vehicleUAZ452placeableDesc,Passt genau in die Apokalypse!
vehicleNovachassis,Nova-Fahrgestell
vehicleNovachassisDesc,"Für die Herstellung der Nova benötigte Teile. Fettnäpfchen Stufe 4 erforderlich."
vehicleNovaaccessories,"Nova-Zubehör"
vehicleNovaaccessoriesDesc,"Für die Herstellung der Nova benötigte Teile."
vehicleNova,Nova
vehicleNovaplaceable,Nova
vehicleNovaplaceableDesc,Klassisch...
vehicleNovared,Nova Rot
vehicleNovaredplaceable,Nova Rot
vehicleNovaredplaceableDesc,Klassisch...
vehicleNovablack,Nova Schwarz
vehicleNovablackplaceable,Nova Schwarz
vehicleNovablackplaceableDesc,Klassisch...
vehicleWorkTruckchassis,"Fahrgestell für Arbeitswagen"
vehicleWorkTruckchassisDesc,"Benötigte Teile für die Herstellung des Work Trucks. Fettnäpfchen Stufe 4 erforderlich."
vehicleWorkTruckaccessories,"Zubehör für Arbeitsfahrzeuge"
vehicleWorkTruckaccessoriesDesc,"Benötigte Teile für die Herstellung des Work Trucks."
vehicleWorkTruck,Arbeits-LKW
vehicleWorkTruckplaceable,Arbeits-LKW
vehicleWorkTruckplaceableDesc,"Sieht aus, als hätte es mehr als nur eine Apokalypse überstanden..."
vehicleBRDM2chassis,BRDM-2 Fahrgestell
vehicleBRDM2chassisDesc,"Für die Herstellung des BRDM-2 benötigte Teile. Fettnäpfchen Stufe 5 erforderlich."
vehicleBRDM2accessories,"BRDM-2 Zubehör"
vehicleBRDM2accessoriesDesc,"Für die Herstellung des BRDM-2 benötigte Teile."
vehicleBRDM2,BRDM-2
vehicleBRDM2placeable,BRDM-2
vehicleBRDM2placeableDesc,"Ein erstaunlich intaktes Militärfahrzeug."
vehicleBRDM2desert,"BRDM-2 Wüste"
vehicleBRDM2desertplaceable,"BRDM-2 Wüste"
vehicleBRDM2desertplaceableDesc,"Ein erstaunlich intaktes Militärfahrzeug."
vehiclePickupchassis,Pickup-Fahrgestell
vehiclePickupchassisDesc,"Für die Herstellung des Pickups benötigte Teile. Fettnäpfchen Stufe 4 erforderlich."
vehiclePickupaccessories,"Pickup-Zubehör"
vehiclePickupaccessoriesDesc,"Für die Herstellung des Pickup benötigte Teile."
vehiclePickup,Abholung
vehiclePickupplaceable,Abholung
vehiclePickupplaceableDesc,Mach die Zeds neidisch mit diesem stylischen Truck!
vehicleMD500chassis,"MD-500-Gehäuse"
vehicleMD500chassisDesc,"Für die Herstellung des MD-500 benötigte Teile. Fettnäpfchen Stufe 5 erforderlich."
vehicleMD500accessories,"MD-500 Zubehör"
vehicleMD500accessoriesDesc,"Für die Herstellung des MD-500 benötigte Teile."
vehicleMD500,MD-500
vehicleMD500placeable,MD-500
vehicleMD500placeableDesc,"Sie können dich nicht töten, wenn sie dich nicht treffen können!"
vehicleDusterchassis,Duster-Fahrgestell
vehicleDusterchassisDesc,"Für die Herstellung des Staubwedels benötigte Teile. Fett-Affe Stufe 5 erforderlich."
vehicleDusteraccessories,"Duster-Zubehör"
vehicleDusteraccessoriesDesc,"Für die Herstellung des Duster benötigte Teile."
vehicleDuster,Staubwedel
vehicleDusterplaceable,Staubwedel
vehicleDusterplaceableDesc,"Es sieht aus, als sollte es fliegen..."
vehicleStallionchassis,Stallion Fahrgestell
vehicleStallionchassisDesc,"Für die Herstellung des Hengstes benötigte Teile. Fettnäpfchen Stufe 4 erforderlich."
vehicleStallionaccessories,"Zubehör für Hengste"
vehicleStallionaccessoriesDesc,"Für die Herstellung des Hengstes benötigte Teile."
vehicleStalliongreen,Hengst
vehicleStalliongreenplaceable,"Hengst Grün"
vehicleStalliongreenplaceableDesc,Klassisch...
vehicleStallionred,Hengst
vehicleStallionredplaceable,Hengst Rot
vehicleStallionredplaceableDesc,Klassisch...
vehicleStallionblue,Hengst
vehicleStallionblueplaceable,Hengst Blau
vehicleStallionblueplaceableDesc,Klassisch...
vehicleStallionwhite,Hengst
vehicleStallionwhiteplaceable,"Hengst Weiß"
vehicleStallionwhiteplaceableDesc,Klassisch...
vehicleDirtBike,Dirt Bike
vehicleDirtBikeplaceable,Dirt Bike
vehicleDirtBikeplaceableDesc,"Ein Geländemotorrad. Und keine Nachbarn, die sich darüber beschweren. Klasse!"
vehicleDirtBikeChassis,Dirt Bike Fahrwerk
vehicleDirtBikeChassisDesc,"Der Beginn von etwas... Großartigem!"
vehicleDirtBikeParts,Dirt Bike Teile
vehicleDirtBikePartsDesc,"Diese könnten Sie brauchen."
vehicleChargerchassis,"Ladegerät-Chassis"
vehicleChargerchassisDesc,"Für die Herstellung des Ladegeräts benötigte Teile. Fettnäpfchen Stufe 4 erforderlich."
vehicleChargeraccessories,"Ladegerät-Zubehör"
vehicleChargeraccessoriesDesc,"Für die Herstellung des Charger benötigte Teile."
vehicleChargerorange,"Ladegerät"
vehicleChargerorangeplaceable,"Ladegerät"
vehicleChargerorangeplaceableDesc,Klassisch...
vehicleChargerorange2,"Ladegerät"
vehicleChargerorange2placeable,"Ladegerät"
vehicleChargerorange2placeableDesc,Klassisch...
vehicleChargerblack,"Ladegerät"
vehicleChargerblackplaceable,"Ladegerät"
vehicleChargerblackplaceableDesc,Klassisch...
vehicleChargerblack2,"Ladegerät"
vehicleChargerblack2placeable,"Ladegerät"
vehicleChargerblack2placeableDesc,Klassisch...
vehicleChargeryellow,"Ladegerät"
vehicleChargeryellowplaceable,"Ladegerät"
vehicleChargeryellowplaceableDesc,Klassisch...
vehicleChargeryellow2,"Ladegerät"
vehicleChargeryellow2placeable,"Ladegerät"
vehicleChargeryellow2placeableDesc,Klassisch...
vehicleChargergreen,"Ladegerät"
vehicleChargergreenplaceable,"Ladegerät"
vehicleChargergreenplaceableDesc,Klassisch...
vehicleChargergreen2,"Ladegerät"
vehicleChargergreen2placeable,"Ladegerät"
vehicleChargergreen2placeableDesc,Klassisch...
vehicleChargerteal,"Ladegerät"
vehicleChargertealplaceable,"Ladegerät"
vehicleChargertealplaceableDesc,Klassisch...
vehicleChargerteal2,"Ladegerät"
vehicleChargerteal2placeable,"Ladegerät"
vehicleChargerteal2placeableDesc,Klassisch...
vehicleChargerrust,"Ladegerät"
vehicleChargerrustplaceable,"Ladegerät"
vehicleChargerrustplaceableDesc,Klassisch...
vehicleChargerrust2,"Ladegerät"
vehicleChargerrust2placeable,"Ladegerät"
vehicleChargerrust2placeableDesc,Klassisch...
vehicleJunker,Junker
vehicleJunkerplaceable,Junker
vehicleJunkerplaceableDesc,Ein altes Custom-Bike.
vehicleJunker2,Junker
vehicleJunker2placeable,Junker Lila
vehicleJunker2placeableDesc,Ein altes Custom-Bike.
vehicleJunkerChassis,Junker Fahrgestell
vehicleJunkerChassisDesc,"Der Beginn von etwas... Großartigem!"
vehicleJunkerbars,Junker Lenker
vehicleJunkerbarsDesc,"Diese könnten Sie brauchen."
vehicleCruiser,Kreuzer
vehicleCruiserplaceable,Kreuzer
vehicleCruiserplaceableDesc,"Ein maßgeschneiderter Cruiser. Klasse!"
vehicleCruiser2,Kreuzer
vehicleCruiser2placeable,Kreuzer Verblasst
vehicleCruiser2placeableDesc,"Ein maßgeschneiderter Cruiser. Klasse!"
vehicleCruiserChassis,Cruiser Fahrgestell
vehicleCruiserChassisDesc,"Der Beginn von etwas... Großartigem!"
vehicleCruiserbars,Cruiser-Lenker
vehicleCruiserbarsDesc,"Diese könnten Sie brauchen."
vehicleRat,Ratte
vehicleRatplaceable,Ratte
vehicleRatplaceableDesc,"Ein maßgeschneidertes Rat-Bike."
vehicleRat2,Ratte
vehicleRat2placeable,Ratte Rot
vehicleRat2placeableDesc,"Ein maßgeschneidertes Rat-Bike."
vehicleRatChassis,Ratte Fahrgestell
vehicleRatChassisDesc,"Der Beginn von etwas... Großartigem!"
vehicleRatbars,Ratte Lenker
vehicleRatbarsDesc,"Diese könnten Sie brauchen."
vehicleSHERPchassis,SHERP-Fahrgestell
vehicleSHERPchassisDesc,"Für die Herstellung des SHERP benötigte Teile. Fettnäpfchen Stufe 4 erforderlich."
vehicleSHERPaccessories,"SHERP-Zubehör"
vehicleSHERPaccessoriesDesc,"Für die Herstellung des SHERP benötigte Teile."
vehicleSHERP,SHERP
vehicleSHERPplaceable,SHERP
vehicleSHERPplaceableDesc,"Ein maßgeschneiderter Geländewagen."
vehicleUH60chassis,UH-60 Fahrgestell
vehicleUH60chassisDesc,"Für die Herstellung des UH-60 benötigte Teile. Grease Monkey Level 5 erforderlich."
vehicleUH60accessories,"UH-60 Zubehör"
vehicleUH60accessoriesDesc,"Teile, die für die Herstellung des UH-60 benötigt werden."
vehicleUH60,UH-60
vehicleUH60placeable,UH-60
vehicleUH60placeableDesc,"Sie können dich nicht töten, wenn sie dich nicht treffen können!"
vehicleHotRodchassis,Hot Rod Fahrgestell
vehicleHotRodchassisDesc,"Für die Herstellung des Hot Rod benötigte Teile. Fettnäpfchen Stufe 4 erforderlich."
vehicleHotRodaccessories,"Hot Rod Zubehör"
vehicleHotRodaccessoriesDesc,"Für die Herstellung des Hot Rods benötigte Teile."
vehicleHotRod1,"Heißer Schlitten"
vehicleHotRod2,"Heißer Schlitten"
vehicleHotRod3,"Heißer Schlitten"
vehicleHotRod4,"Heißer Schlitten"
vehicleHotRod5,"Heißer Schlitten"
vehicleHotRod6,"Heißer Schlitten"
vehicleHotRod1placeable,"Heißer Schlitten"
vehicleHotRod1placeableDesc,"Ein maßgeschneiderter Hot Rod."
vehicleHotRod2placeable,"Heißer Schlitten"
vehicleHotRod2placeableDesc,"Ein maßgeschneiderter Hot Rod."
vehicleHotRod3placeable,"Heißer Schlitten"
vehicleHotRod3placeableDesc,"Ein maßgeschneiderter Hot Rod."
vehicleHotRod4placeable,"Heißer Schlitten"
vehicleHotRod4placeableDesc,"Ein maßgeschneiderter Hot Rod."
vehicleHotRod5placeable,"Heißer Schlitten"
vehicleHotRod5placeableDesc,"Ein maßgeschneiderter Hot Rod."
vehicleHotRod6placeable,"Heißer Schlitten"
vehicleHotRod6placeableDesc,"Ein maßgeschneiderter Hot Rod."
vehicleHumveechassis,Humvee-Fahrgestell
vehicleHumveechassisDesc,"Für die Herstellung des Humvee benötigte Teile. Fettnäpfchen Stufe 4 erforderlich."
vehicleHumveebody,Humvee-Karosserie
vehicleHumveebodyDesc,"Für die Herstellung des Humvee benötigte Teile."
vehicleHumvee,Humvee
vehicleHumveeplaceable,Humvee
vehicleHumveeplaceableDesc,"Militärischer Überschuss vom Feinsten!"
vehicleHumveeTopless,Humvee
vehicleHumveeToplessplaceable,Humvee (oben ohne)
vehicleHumveeToplessplaceableDesc,"Militärischer Überschuss vom Feinsten!"
vehicleBuggychassis,Buggy-Fahrgestell
vehicleBuggychassisDesc,"Für die Herstellung des Buggys benötigte Teile. Fettnäpfchen Stufe 4 erforderlich."
vehicleBuggyaccessories,"Buggy-Zubehör"
vehicleBuggyaccessoriesDesc,"Für die Herstellung des Buggys benötigte Teile."
vehicleBuggy,Buggy
vehicleBuggyplaceable,Buggy
vehicleBuggyplaceableDesc,Ein alter Offroad-Buggy.
vehicleOldSemichassis,Altes Semi-Fahrgestell
vehicleOldSemichassisDesc,"Benötigte Teile für die Herstellung des alten Semi. Fettnäpfchen Stufe 4 erforderlich."
vehicleOldSemibody,Alter Sattelschlepper
vehicleOldSemibodyDesc,"Für die Herstellung des Alten Semi benötigte Teile."
vehicleOldSemi,Alter Sattelzug
vehicleOldSemiplaceable,Alter Sattelzug
vehicleOldSemiplaceableDesc,"Pass besser auf, Arlene!"
vehicleLMTVchassis,LMTV-Fahrgestell
vehicleLMTVchassisDesc,"Für die Herstellung des LMTV benötigte Teile. Fettnäpfchen Stufe 5 erforderlich."
vehicleLMTVbody,"LMTV Körper"
vehicleLMTVbodyDesc,"Für die Herstellung des LMTV benötigte Teile."
vehicleLMTV,LMTV
vehicleLMTVplaceable,LMTV
vehicleLMTVplaceableDesc,"Militärisches Transportfahrzeug. Fasst 6 Personen."
vehicleBoxTruckchassisSchematic,Kastenwagen-Fahrgestell Schaltplan
vehicleBoxTruckbodySchematic,Kastenwagenaufbau Schaltplan
vehicleBRDM2chassisSchematic,"BRDM-2-Gehäuse-Schaltplan"
vehicleBRDM2accessoriesSchematic,"BRDM-2 Zubehör Schaltplan"
vehicleBuggychassisSchematic,Buggy-Fahrgestell Schaltplan
vehicleBuggyaccessoriesSchematic,"Buggy-Zubehör Schaltplan"
vehicleChargerchassisSchematic,"Schaltplan für das Ladegerät-Chassis"
vehicleChargeraccessoriesSchematic,"Schaltplan für Ladegerät-Zubehör"
vehicleCruiserChassisSchematic,Cruiser Fahrgestell Schaltplan
vehicleCruiserbarsSchematic,Cruiser-Lenker Schaltplan
vehicleDirtBikeChassisSchematic,Dirt Bike Fahrwerk Schaltplan
vehicleDirtBikePartsSchematic,Dirt Bike Teile Schaltplan
vehicleDusterchassisSchematic,Duster Fahrgestell Schaltplan
vehicleDusteraccessoriesSchematic,"Duster Zubehör Schaltplan"
vehicleGNXchassisSchematic,GNX-Fahrgestell-Schaltplan
vehicleGNXaccessoriesSchematic,"GNX Zubehör Schaltplan"
vehicleGolfCartchassisSchematic,Golf Cart Chassis Schaltplan
vehicleGolfCartaccessoriesSchematic,"Golf Cart Zubehör Schaltplan"
vehicleHotRodchassisSchematic,Hot Rod Fahrgestell Schaltplan
vehicleHotRodaccessoriesSchematic,"Hot Rod Zubehör Schaltplan"
vehicleHumveechassisSchematic,Humvee Fahrgestell Schaltplan
vehicleHumveebodySchematic,Humvee Karosserie Schaltplan
vehicleJunkerChassisSchematic,Junker Fahrgestell Schaltplan
vehicleJunkerbarsSchematic,Junker Lenker Schaltplan
vehicleLMTVchassisSchematic,"LMTV-Gehäuse-Schaltplan"
vehicleLMTVbodySchematic,LMTV Karosserie Schaltplan
vehicleMarauderchassisSchematic,Marauder Fahrgestell Schaltplan
vehicleMarauderaccessoriesSchematic,"Marauder Zubehör Schaltplan"
vehicleMD500chassisSchematic,MD-500 Fahrgestell-Schaltplan
vehicleMD500accessoriesSchematic,"MD-500 Zubehör Schaltplan"
vehicleMRAPpartsSchematic,MRAP Teile Schaltplan
vehicleMRAPaccessoriesSchematic,"MRAP Zubehör Schaltplan"
vehicleNovachassisSchematic,Nova Fahrgestell Schaltplan
vehicleNovaaccessoriesSchematic,"Nova Zubehör Schaltplan"
vehicleOldSemichassisSchematic,Altes Semi-Fahrgestell Schaltplan
vehicleOldSemibodySchematic,Alter Semi Body Schaltplan
vehiclePickupchassisSchematic,Pickup-Fahrgestell Schaltplan
vehiclePickupaccessoriesSchematic,"Pickup-Zubehör Schaltplan"
vehicleRatChassisSchematic,Rattenchassis-Schaltplan
vehicleRatbarsSchematic,Ratte Lenker Schematisch
vehicleSHERPchassisSchematic,SHERP Fahrgestell-Schema
vehicleSHERPaccessoriesSchematic,"SHERP-Zubehör Schematisch"
vehicleStallionchassisSchematic,Stallion Fahrgestell Schaltplan
vehicleStallionaccessoriesSchematic,"Stallion Zubehör Schaltplan"
vehicleUAZ452chassisSchematic,UAZ 452 Fahrgestell-Schaltplan
vehicleUH60chassisSchematic,UH-60 Fahrgestell-Schaltplan
vehicleUH60accessoriesSchematic,"UH-60 Zubehör Schaltplan"
vehicleWorkTruckchassisSchematic,"Schaltplan für das Fahrgestell eines Arbeits-Lkw"
vehicleWorkTruckaccessoriesSchematic,"Schaltplan für Lkw-Zubehör"
